,Dnaja3,Camk2n1,Fau,Terf2,Dis3l2,Tmem147,Abhd14a,Sh3bgrl2,Psma3l,Uqcr11,Tmem126a,Irf4,Hyou1,Mgst3,LOC100909510,Rbm22,Dbnl,Mad2l1,Ppm1b,Nme7,Trappc6a,Nabp2,Invs,Hist1h4m,Fuca2,Hypk,Crh,Rnh1,Hnrnpa3,Klc1,Usp9x,Lcn2,Spsb2,LOC498154,Zmynd11,Gps1,Paqr7,Tmsb4x,Sept7,Rps27a,Add3,Spint2,Twsg1,Rab3il1,Mrps21,Trappc2b,Nsun5,Ost4,Maged2,Sprn,Erp44,Mcam,Hap1,Plcd1,Pomp,Lrrc46,Nmi,Ndufs8,Rpp40,Esd,Mgarp,RGD735065,Cox20,Cpt2,Thumpd3,Hspa1b,Edf1,Sf3b6,Tmem59l,Nat2,Rassf1,Myl6,Cenpk,Rarg,Plod2,Ndufb4,Cdk10,Shank2,Mrpl4,Ndufa2,Mis18bp1,Ifit3,Hras,Cox5b,Diaph3,Uck2,Gemin8,Mfsd10,Ddah2,Chmp1b,Syn2,Gnpda2,Arsk,Eif2b2,Carm1,Cln3,Tmem170a,Tmem50a
mouse,5,4,2,6,7,0,1,0,6,0,1,12,33,0,0,0,11,2,6,10,3,1,10,4,1,0,1,24,42,6,10,15,1,0,1,1,3,4,24,18,3,7,4,0,0,1,6,0,12,4,4,10,12,48,2,4,1,3,0,1,4,0,0,10,1,31,2,11,4,10,7,35,1,102,6,0,55,10,1,1,0,9,56,1,9,1,0,2,1,0,6,5,0,2,16,3,0,1
promoter,8,0,1,0,3,0,0,2,5,0,0,15,30,0,0,1,1,1,26,8,0,0,0,9,0,1,2,3,9,0,2,7,0,0,1,1,1,1,7,15,2,3,1,0,0,1,1,0,10,4,2,4,1,14,0,1,0,6,0,2,0,0,0,4,1,33,5,4,1,5,15,30,0,157,1,0,60,1,4,2,0,4,28,5,3,3,0,0,0,1,5,8,0,1,23,0,0,0
tumor,4,1,2,0,9,0,0,4,8,0,0,6,23,0,0,0,8,4,9,12,1,0,2,0,0,0,0,7,18,1,7,2,0,0,8,1,1,12,16,19,0,10,0,1,0,0,7,0,42,0,1,14,2,13,0,2,0,0,0,0,0,0,0,4,0,15,1,2,1,2,39,6,0,45,6,0,50,0,1,0,0,4,83,2,6,0,0,0,6,1,0,0,0,0,5,0,1,0
regulator,26,1,1,3,8,0,0,1,12,0,0,11,37,0,0,1,8,6,69,12,0,0,4,1,1,1,0,15,30,1,7,2,3,0,5,8,2,1,11,18,1,4,0,1,0,0,3,0,7,0,3,0,4,6,1,5,2,10,0,3,1,0,0,7,0,39,9,18,2,1,4,26,0,119,1,0,112,7,4,0,0,2,102,2,17,2,0,0,2,3,3,13,1,1,19,1,0,0
brain,4,5,0,1,1,0,0,0,3,0,0,3,13,1,0,0,16,1,13,8,3,0,3,1,0,0,7,7,19,7,4,25,2,0,2,1,5,8,25,3,7,4,0,1,0,0,1,0,8,7,1,1,22,27,0,1,0,1,0,1,1,0,0,15,0,14,1,5,3,1,2,12,0,53,3,0,53,17,1,1,0,7,49,1,6,1,0,1,7,1,20,1,0,3,9,0,0,1
arabidopsis,15,0,0,0,6,1,0,0,13,0,0,0,52,2,0,3,0,4,136,12,0,1,0,3,0,0,0,0,23,0,0,0,0,0,0,13,2,0,0,37,0,0,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,2,0,1,0,0,0,0,0,51,15,16,0,1,0,38,0,0,0,0,70,0,6,1,0,0,28,9,1,2,0,0,0,4,0,0,0,2,8,0,0,1
differentiation,7,0,0,1,2,0,0,0,6,0,0,15,16,1,0,0,6,0,6,8,0,1,4,6,0,0,0,4,20,2,1,5,1,0,1,1,0,6,11,10,4,2,2,0,0,0,1,0,10,0,1,1,4,19,1,1,0,2,0,0,0,0,0,4,0,14,10,6,5,2,2,19,0,149,1,1,54,2,2,1,0,3,52,0,10,0,0,0,1,1,4,2,0,1,15,0,0,0
splice,1,0,1,1,1,0,0,0,5,0,0,2,16,0,4,10,4,0,4,5,3,1,2,0,0,0,0,2,59,1,0,0,0,1,4,0,0,0,11,4,2,2,0,0,0,2,0,0,4,0,0,3,1,12,0,2,0,0,0,0,0,0,1,4,0,15,0,73,0,0,4,12,0,22,8,0,29,1,1,0,1,2,7,0,2,1,0,0,0,0,1,0,0,1,20,1,0,0
neuron,2,3,0,1,0,0,2,0,2,0,0,1,9,0,0,0,19,2,5,2,0,0,2,0,1,0,2,6,42,9,3,3,5,0,0,1,0,3,29,3,4,0,0,0,0,0,1,0,7,2,0,2,22,14,0,3,0,1,0,0,1,0,0,14,0,9,1,3,3,0,2,9,0,44,0,0,50,19,0,0,0,4,52,0,7,0,2,0,1,1,26,0,0,2,5,5,0,0
transport,22,0,0,1,1,0,0,0,6,0,0,0,36,2,0,0,2,1,12,12,10,0,3,2,6,0,0,1,18,27,1,11,0,1,0,0,1,1,10,13,5,3,1,4,0,8,0,0,1,1,1,0,16,1,0,3,0,8,0,2,1,0,0,8,0,45,1,3,0,0,1,10,0,33,1,2,13,4,8,0,0,1,106,8,2,3,0,3,0,21,1,18,0,1,12,9,0,2
